PLAYER,Cut Scoring Percentile,Off-Screen Scoring Percentile
Doug McDermott,0.846,1
Joe Harris,0.507,0.982
Damion Lee,0.533,0.907
Devin Booker,0.934,0.894
Landry Shamet,0.119,0.996
Davis Bertans,0.471,0.969
JJ Redick,0.238,0.991
Glenn Robinson III,0.811,0.93
Gordon Hayward,0.828,0.762
Jamal Murray,0.907,0.811
Duncan Robinson,0.586,0.96
Brandon Ingram,0.762,0.67
Khris Middleton,0.67,0.78
Buddy Hield,0.247,0.965
Bradley Beal,0.784,0.846
Tyler Herro,0.256,0.916
Evan Fournier,0.577,0.943
Justin Holiday,0.441,0.938
Zach LaVine,0.815,0.722
D'Angelo Russell,0.515,0.956
E'Twaun Moore,0.339,0.784
Marco Belinelli,0.59,0.789
Cameron Johnson,0.493,0.767
Mikal Bridges,0.996,0.339
Bogdan Bogdanovic,0.502,0.868
CJ McCollum,0.392,0.859
Kawhi Leonard,0.559,0.921
Giannis Antetokounmpo,0.894,0.564
Terence Davis,0.727,0.612
Luke Kennard,0.626,0.683
Fred VanVleet,0.546,0.903
Spencer Dinwiddie,0.581,0.89
Pat Connaughton,0.921,0.511
Andrew Wiggins,0.925,0.692
Ja Morant,0.696,0.573
Svi Mykhailiuk,0.203,0.925
Furkan Korkmaz,0.352,0.824
Michael Porter Jr.,0.987,0.604
Terrence Ross,0.304,0.987
Kyrie Irving,0.806,0.458
Justin Jackson,0.78,0.899
Danny Green,0.463,0.661
DeMar DeRozan,0.709,0.744
T.J. Warren,0.93,0.85
Timothe Luwawu-Cabarrot,0.573,0.586
Wesley Matthews,0.423,0.806
Tyler Johnson,0.789,0.524
Monte Morris,0.881,0.436
Malik Monk,0.458,0.771
George Hill,0.965,0.326
Markelle Fultz,0.863,0.485
Jordan Clarkson,0.374,0.674
Jimmy Butler,0.982,0.463
Kemba Walker,0.3,0.885
Patty Mills,0.066,0.837
Tobias Harris,0.855,0.74
Reggie Bullock,0.771,0.881
Malik Beasley,0.498,0.665
Jrue Holiday,0.656,0.344
Kyle Korver,0.031,0.974
Donte DiVincenzo,0.797,0.352
Pascal Siakam,0.912,0.313
Goran Dragic,0.736,0.427
Bryn Forbes,0.088,0.863
Devonte' Graham,0.291,0.709
Norman Powell,0.604,0.833
Troy Brown Jr.,0.837,0.282
Aaron Gordon,0.952,0.273
Derrick White,0.48,0.41
Harrison Barnes,0.731,0.361
Zion Williamson,0.991,0.101
Tomas Satoransky,0.643,0.295
Kendrick Nunn,0.661,0.802
Lonzo Ball,0.432,0.476
Eric Bledsoe,0.63,0.419
Luka Doncic,0.551,0.714
Terry Rozier,0.366,0.912
Ky Bowman,0.568,0.617
Bojan Bogdanovic,0.388,0.934
Kyle Kuzma,0.617,0.48
Josh Hart,0.436,0.537
LeBron James,0.767,0.793
Malcolm Brogdon,0.674,0.489
Rui Hachimura,0.916,0.132
Rodions Kurucs,0.89,0.145
Trae Young,0.106,0.634
Grayson Allen,0.137,0.841
Jordan Poole,0.335,0.947
Abdel Nader,0.41,0.872
D.J. Augustin,0.427,0.581
Shake Milton,0.749,0.507
Derrick Rose,0.295,0.555
Alec Burks,0.665,0.696
Josh Richardson,0.37,0.828
Langston Galloway,0.189,0.952
Collin Sexton,0.687,0.529
Russell Westbrook,0.529,0.498
Frank Jackson,0.282,0.568
Jarrett Culver,0.744,0.396
Will Barton,0.938,0.322
Jabari Parker,0.885,0.15
James Ennis III,0.903,0.137
